,Ship_name,Cruise_line,Age,Tonnage,passengers,length,cabins,passenger_density,crew
0,Journey,Azamara,6,30.277,6.94,5.94,3.55,42.64,3.55
1,Quest,Azamara,6,30.277,6.94,5.94,3.55,42.64,3.55
2,Celebration,Carnival,26,47.262,14.86,7.22,7.43,31.8,6.7
3,Conquest,Carnival,11,110.0,29.74,9.53,14.88,36.99,19.1
4,Destiny,Carnival,17,101.353,26.42,8.92,13.21,38.36,10.0
5,Ecstasy,Carnival,22,70.367,20.52,8.55,10.2,34.29,9.2
6,Elation,Carnival,15,70.367,20.52,8.55,10.2,34.29,9.2
7,Fantasy,Carnival,23,70.367,20.56,8.55,10.22,34.23,9.2
8,Fascination,Carnival,19,70.367,20.52,8.55,10.2,34.29,9.2
9,Freedom,Carnival,6,110.239,37.0,9.51,14.87,29.79,11.5
10,Glory,Carnival,10,110.0,29.74,9.51,14.87,36.99,11.6
11,Holiday,Carnival,28,46.052,14.52,7.27,7.26,31.72,6.6
12,Imagination,Carnival,18,70.367,20.52,8.55,10.2,34.29,9.2
13,Inspiration,Carnival,17,70.367,20.52,8.55,10.2,34.29,9.2
14,Legend,Carnival,11,86.0,21.24,9.63,10.62,40.49,9.3
15,Liberty*,Carnival,8,110.0,29.74,9.51,14.87,36.99,11.6
16,Miracle,Carnival,9,88.5,21.24,9.63,10.62,41.67,10.3
17,Paradise,Carnival,15,70.367,20.52,8.55,10.2,34.29,9.2
18,Pride,Carnival,12,88.5,21.24,9.63,11.62,41.67,9.3
19,Sensation,Carnival,20,70.367,20.52,8.55,10.2,34.29,9.2
20,Spirit,Carnival,12,88.5,21.24,9.63,10.56,41.67,10.29
21,Triumph,Carnival,14,101.509,27.58,8.93,13.21,36.81,10.0
22,Valor,Carnival,9,110.0,29.74,9.52,14.87,36.99,11.6
23,Victory,Carnival,13,101.509,27.58,8.93,13.79,36.81,11.5
24,Century,Celebrity,18,70.60600000000001,17.7,8.15,8.75,39.89,8.58
25,Constellation,Celebrity,11,91.0,20.32,9.65,9.75,44.78,9.99
26,Galaxy,Celebrity,17,77.71300000000001,18.9,8.66,9.35,41.12,9.09
27,Infinity,Celebrity,12,91.0,20.32,9.65,9.75,44.78,9.99
28,Mercury,Celebrity,16,77.71300000000001,18.82,8.66,9.35,41.29,9.09
29,Millenium,Celebrity,13,91.0,20.32,9.65,9.75,44.78,9.99
30,Solstice,Celebrity,5,122.0,28.5,10.33,6.87,34.57,6.7
31,Summit,Celebrity,12,91.0,20.32,9.65,9.75,44.78,9.99
32,Xpedition,Celebrity,12,2.329,0.94,2.96,0.45,24.78,0.6
33,Zenith,Celebrity,21,47.225,13.66,6.82,6.87,34.57,6.7
34,Allegra,Costa,21,28.43,8.08,6.16,4.1,35.19,4.0
35,Atlantica,Costa,13,85.619,21.14,9.57,10.56,40.5,9.2
36,Classica,Costa,22,52.926,13.02,7.18,6.54,40.65,6.17
37,Europa,Costa,27,53.872,14.94,7.98,7.67,36.06,6.36
38,Fortuna,Costa,10,105.0,27.2,8.9,13.56,38.6,10.68
39,Magica,Costa,9,105.0,27.2,8.9,13.56,38.6,10.68
40,Marina,Costa,23,25.0,7.76,6.22,3.86,32.22,3.85
41,Mediterranea,Costa,10,86.0,21.14,9.6,10.56,40.68,9.2
42,Romantica,Costa,20,53.049,13.44,7.22,6.78,39.47,6.0
43,Serena,Costa,6,112.0,38.0,9.51,15.0,29.47,10.9
44,Victoria,Costa,17,75.166,19.28,8.28,9.64,38.99,7.66
45,Serenity,Crystal,10,68.0,10.8,7.9,5.5,62.96,6.36
46,Symphony,Crystal,18,51.004,9.4,7.81,4.8,54.26,5.45
47,QueenElizabethII,Cunard,44,70.327,17.91,9.63,9.5,39.27,9.21
48,QueenMary2,Cunard,10,151.4,26.2,11.32,11.34,57.79,12.53
49,QueenVictoria,Cunard,6,90.0,20.0,9.64,10.29,45.0,9.0
50,Magic,Disney,15,83.338,17.5,9.64,8.75,47.62,9.45
51,Wonder,Disney,14,83.0,17.5,9.64,8.75,47.43,9.45
52,Amsterdam,Holland_American,13,61.0,13.8,7.8,6.88,44.2,6.0
53,Eurodam,Holland_American,5,86.0,21.04,9.36,10.22,40.87,8.0
54,Maasdam,Holland_American,20,55.451,12.64,7.19,6.32,43.87,5.57
55,Noordam,Holland_American,29,33.92,12.14,7.04,6.07,27.94,5.3
56,Oosterdam,Holland_American,10,81.76899999999999,18.48,9.59,9.24,44.25,8.42
